FK_SCX_tArtikelVerkaufskanalFeldWert_kShopScx;tArtikelVerkaufskanalFeldWert;kShopScx;tShopScx;kShopScx
FK_dbo_tAttributWarengruppe_kAttribut;tAttributWarengruppe;kAttribut;tAttribut;kAttribut
FK_dbo_tAttributWarengruppe_kWarengruppe;tAttributWarengruppe;kWarengruppe;tWarengruppe;kWarengruppe
FK_Verkauf_tAuftrag_kAmazonUser;tAuftrag;kAmazonUser;pf_user;kUser
FK_Verkauf_tAuftrag_kFarbe;tAuftrag;kFarbe;tFarbe;kFarbe
FK_Verkauf_tAuftrag_kFirmaHistory;tAuftrag;kFirmaHistory;tFirmaHistory;kFirmaHistory
FK_Verkauf_tAuftrag_kKunde;tAuftrag;kKunde;tkunde;kKunde
FK_Verkauf_tAuftrag_kPlattform;tAuftrag;kPlattform;tPlattform;nPlattform
FK_Verkauf_tAuftrag_kSprache;tAuftrag;kSprache;tSpracheUsed;kSprache
FK_Verkauf_tAuftragAdresse_kAuftrag;tAuftragAdresse;kAuftrag;tAuftrag;kAuftrag
FK_Verkauf_tAuftragAdresse_kKunde;tAuftragAdresse;kKunde;tkunde;kKunde
FK_Verkauf_tAuftragAmazon_kAuftrag;tAuftragAmazon;kAuftrag;tAuftrag;kAuftrag
FK_Verkauf_tAuftragAttribut_kAuftrag;tAuftragAttribut;kAuftrag;tAuftrag;kAuftrag
FK_Verkauf_tAuftragAttributSprache_kAuftragAttribut;tAuftragAttributSprache;kAuftragAttribut;tAuftragAttribut;kAuftragAttribut
FK_Verkauf_tAuftragAusgabeDateien_kAuftrag;tAuftragAusgabeDateien;kAuftrag;tAuftrag;kAuftrag
FK_Verkauf_tAuftragEckdaten_kAuftrag;tAuftragEckdaten;kAuftrag;tAuftrag;kAuftrag
FK_Verkauf_tAuftragFile_kAuftrag;tAuftragFile;kAuftrag;tAuftrag;kAuftrag
FK_Verkauf_tAuftragFile_kFile;tAuftragFile;kFile;tFile;kFile
FK_Verkauf_tAuftragKampagne_kAuftrag;tAuftragKampagne;kAuftrag;tAuftrag;kAuftrag
FK_Verkauf_tAuftragkosten_kAuftragPosition;tAuftragkosten;kAuftragPosition;tAuftragPosition;kAuftragPosition
FK_Verkauf_tAuftragkosten_kSettlementPos;tAuftragkosten;kSettlementPos;pf_amazon_settlementpos;kMessageId
FK_Verkauf_tAuftragkosten_kZahlungsabgleichUmsatz;tAuftragkosten;kZahlungsabgleichUmsatz;tZahlungsabgleichUmsatz;kZahlungsabgleichUmsatz
FK_Verkauf_tAuftragLabel_kAuftrag;tAuftragLabel;kAuftrag;tAuftrag;kAuftrag
FK_Verkauf_tAuftragPosition_kAmazonBestellungPos;tAuftragPosition;kAmazonBestellungPos;pf_amazon_bestellungpos;kAmazonBestellungPos
FK_Verkauf_tAuftragPosition_kAuftrag;tAuftragPosition;kAuftrag;tAuftrag;kAuftrag
FK_Verkauf_tAuftragPosition_kEbayTransaction;tAuftragPosition;kEbayTransaction;ebay_transaction;kTransaction
FK_Verkauf_tAuftragPosition_kKonfigItem;tAuftragPosition;kKonfigItem;tkonfigitem;kKonfigitem
FK_Verkauf_tAuftragPosition_kSteuerklasse;tAuftragPosition;kSteuerklasse;tSteuerklasse;kSteuerklasse
FK_Verkauf_tAuftragPosition_kSteuerschluessel;tAuftragPosition;kSteuerschluessel;tSteuerschluessel;kSteuerschluessel
FK_Verkauf_tAuftragPositionEckdaten_kAuftragPosition;tAuftragPositionEckdaten;kAuftragPosition;tAuftragPosition;kAuftragPosition
FK_Verkauf_tAuftragPositionEigenschaft_kAuftragPosition;tAuftragPositionEigenschaft;kAuftragPosition;tAuftragPosition;kAuftragPosition
FK_Verkauf_tAuftragPositionFile_kAuftragPosition;tAuftragPositionFile;kAuftragPosition;tAuftragPosition;kAuftragPosition
FK_Verkauf_tAuftragPositionFile_kFile;tAuftragPositionFile;kFile;tFile;kFile
FK_Verkauf_tAuftragPositionIntervall_kAuftragPosition;tAuftragPositionIntervall;kAuftragPosition;tAuftragPosition;kAuftragPosition
FK_Verkauf_tAuftragPositionScxCustomField_kAuftragPositionScxCustomFieldGroup;tAuftragPositionScxCustomField;kAuftragPositionScxCustomFieldGroup;tAuftragPositionScxCustomFieldGroup;kAuftragPositionScxCustomFieldGroup
FK_Verkauf_tAuftragPositionScxCustomFieldGroup_kAuftragPosition;tAuftragPositionScxCustomFieldGroup;kAuftragPosition;tAuftragPosition;kAuftragPosition
FK_Verkauf_tAuftragPositionScxCustomFieldValue_kAuftragPositionScxCustomField;tAuftragPositionScxCustomFieldValue;kAuftragPositionScxCustomField;tAuftragPositionScxCustomField;kAuftragPositionScxCustomField
